title,lyrics,Language,rem_sp_char,LyricsClean,sent_scores,comp_score,sentiment
If there was a practice in love (Prod. 2Soo),"If there was a practice in love
Is we different
The time I met or that place
If the situation was different
Is we signed
Hapil Non
Why I was so unprecedented
Was it so pretty
A good woman like you
Why do you meet me
I gave it to me excessive love
Let's go back then
Is that crazy
Crazy
I can do better
It won't ring again
I'm confident, but why doesn't it make sense
I learned too much of the time
How to save you without ringing
Why is the day without a day
Without waiting
It's time to see if it flows
 -At playing-
To him who meets you now
Like I did to me
Do you smile pretty
A good woman like you
The man who is loved is so envious
Are you happy
There is that man next to you
A profits that cannot be re -established
I can do better
It won't ring again
I'm confident, but why doesn't it make sense
I learned too much of the time
How to save you without ringing
Why do you forget you?
Whether it flowed without telling me",en,if there was a practice in love  lim jae hyun if there was a practice in love is we different the time i met or that place if the situation was different is we signed hapil non why i was so unprecedented was it so pretty a good woman like you why do you meet me i gave it to me excessive love lets go back then is that crazy crazy i can do better it wont ring again im confident but why doesnt it make sense i learned too much of the time how to save you without ringing why is the day without a day without waiting its time to see if it flows  at playing to him who meets you now like i did to me do you smile pretty a good woman like you the man who is loved is so envious are you happy there is that man next to you a profits that cannot be re established i can do better it wont ring again im confident but why doesnt it make sense i learned too much of the time how to save you without ringing why do you forget you whether it flowed without telling me, practice love different time met place situation different signed hapil non unprecedented pretty good woman like meet gave excessive love lets go back crazy crazy better wont ring confident doesnt make sense learned much time save without ringing day without day without waiting time see flows playing meets like smile pretty good woman like man loved envious happy man next profits established better wont ring confident doesnt make sense learned much time save without ringing forget whether flowed without telling,"{'neg': 0.091, 'neu': 0.451, 'pos': 0.458, 'compound': 0.9935}",0.9935,Positive
It was good that time,"I'm comfortable now
Even a little excitement would be greedy
Always by side
Maybe I knew I was going to be together
Well, get tired in repeated time
There is nothing to laugh together anymore
Warm like spring
It was good that time
One you were enough
It was good that time
After breaking up
I realized
It was great
It was so pretty
It was so good that time last day
Then then
Then then um
You already know you all
I was in a distance
Even if you try more
I couldn't help it.
Well, when did we like this
I can't meet you anymore
Warm like spring
It was good that time
I was happy
It was good that time
After breaking up
I realized
It was great
It was so pretty
It was so good that time last day
Even if there was nothing or shabby
We were enough to each other alone
It was nice to be you
I was happy
Love was all
It was good that time
If I knew then
I'll love you more
I'll hug more
Regret
I miss us we loved
Then then
Then then um",en,i liked that time kassy im comfortable now even a little excitement would be greedy always by side maybe i knew i was going to be together well get tired in repeated time there is nothing to laugh together anymore warm like spring it was good that time one you were enough it was good that time after breaking up i realized it was great it was so pretty it was so good that time last day then then then then um you already know you all i was in a distance even if you try more i couldnt help it well when did we like this i cant meet you anymore warm like spring it was good that time i was happy it was good that time after breaking up i realized it was great it was so pretty it was so good that time last day even if there was nothing or shabby we were enough to each other alone it was nice to be you i was happy love was all it was good that time if i knew then ill love you more ill hug more regret i miss us we loved then then then then um,comfortable even little excitement would greedy always side maybe knew going together well get tired repeated time nothing laugh together anymore warm like spring good time one enough good time breaking realized great pretty good time last day um already distance even try couldnt help well like meet anymore warm like spring good time happy good time breaking realized great pretty good time last day even nothing shabby enough alone nice happy love good time knew love hug regret miss us loved um,"{'neg': 0.095, 'neu': 0.335, 'pos': 0.57, 'compound': 0.9969}",0.9969,Positive
Boy with Luv (feat. Halsey),"I'm curious about everything
How s your day
Oh tell me
What makes you happy
Oh text me
Your Every Picture
I want to be on my bedside
oh bae
COME Be My Teacher
Teach you everything
Your 1 your 2
Listen My My Baby I
I'm flying high in that sky
At that time, with the two wings you gave me
Now this is too high
I want to match you in my eyes
Yeah you Makin me a boy with luv
Oh my my oh my my my my MY
I'm waited all my life
I want to be together
Oh my my oh my my my my MY
Looking for some
I know a little now
I want some stringer
THAN A MOMENT
THAN A MOMENT LOVE
I have waited longer
For a boy with
For a boy with luv
YA after learning you
My life is all you ya
Not trivial
The star called you
Everything from one to ten is special
Your concern
Even small small habits
It's too small
I was a hero
Oh nah
I'm not talking about destiny
It wasn't me from the beginning
Oh nah
World peace
No way
Huge order
No way
I'll just keep you
Boy with Luv
Listen My My Baby I
I'm flying high in that sky
At that time, with the two wings you gave me
Now this is too high
I want to match you in my eyes
Yeah you Makin me a boy with luv
Oh my my oh my my my my MY
You Got Me High So Fast
I want to be together
Oh my my oh my my my my MY
You Got Me Fly so fast
I know a little now
LOVE Is Nothing Stronger
THAN A BOY with Luv
LOVE Is Nothing Stronger
THAN A BOY with Luv
I'll tell you
I had a hard time without knowing it
High SKY
The growing Hall
Sometimes I prayed for me to run away
But your wound is my wound
When I realized
With the wings of Icarus
To you, not the sun
Let me fly
Oh my my oh my my my my MY
I'm waited all my life
I want to be together
Oh my my oh my my my my MY
Looking for some
I know a little now
I want some stringer
THAN A MOMENT
THAN A MOMENT LOVE
LOVE Is Nothing Stronger
THAN A BOY with Luv",en,boy with luv feat h   bts im curious about everything how s your day oh tell me what makes you happy oh text me your every picture i want to be on my bedside oh bae come be my teacher teach you everything your 1 your 2 listen my my baby i im flying high in that sky at that time with the two wings you gave me now this is too high i want to match you in my eyes yeah you makin me a boy with luv oh my my oh my my my my my im waited all my life i want to be together oh my my oh my my my my my looking for some i know a little now i want some stringer than a moment than a moment love i have waited longer for a boy with for a boy with luv ya after learning you my life is all you ya not trivial the star called you everything from one to ten is special your concern even small small habits its too small i was a hero oh nah im not talking about destiny it wasnt me from the beginning oh nah world peace no way huge order no way ill just keep you boy with luv listen my my baby i im flying high in that sky at that time with the two wings you gave me now this is too high i want to match you in my eyes yeah you makin me a boy with luv oh my my oh my my my my my you got me high so fast i want to be together oh my my oh my my my my my you got me fly so fast i know a little now love is nothing stronger than a boy with luv love is nothing stronger than a boy with luv ill tell you i had a hard time without knowing it high sky the growing hall sometimes i prayed for me to run away but your wound is my wound when i realized with the wings of icarus to you not the sun let me fly oh my my oh my my my my my im waited all my life i want to be together oh my my oh my my my my my looking for some i know a little now i want some stringer than a moment than a moment love love is nothing stronger than a boy with luv,curious everything day tell makes happy text every picture want bedside bae come teacher teach everything listen baby flying high sky time two wings gave high want match eyes makin boy luv waited life want together looking little want stringer moment moment love waited longer boy boy luv learning life trivial star called everything one ten special concern even small small habits small hero nah talking destiny wasnt beginning nah world peace way huge order way keep boy luv listen baby flying high sky time two wings gave high want match eyes makin boy luv high fast want together fly fast little love nothing stronger boy luv love nothing stronger boy luv tell hard time without knowing high sky growing hall sometimes prayed run away wound wound realized wings icarus sun let fly waited life want together looking little want stringer moment moment love love nothing stronger boy luv,"{'neg': 0.059, 'neu': 0.669, 'pos': 0.272, 'compound': 0.99}",0.99,Positive
Overflow,"I left you behind you
Let us love
Memorize the rising memories
Like everything did not happen
It's a dream I don't know
I'm talking
I don't know if it's left
Even if I run hard towards me
You at the distance that will stop at the end
Even if you try to be more torn
Then we
That story that cannot be returned
Sharply, the wound is deep
I can't get it, so I leave
The trembling tears are put in the chest
Now no longer a place to fill
It's overflowing
A face that you may not know
Even if you laugh at me
You at a distance that you can't push your hands
I have no choice but to sit down again
The collapsed love and
All your traces
Only what you miss
I have nothing to do
I hate being helpless
I don't want to send you
Even if you try to be more torn
Return us again then
That story that cannot be released
Sharply, the wound is deep
I can't get it, so I leave",en,overflow mc the max i left you behind you let us love memorize the rising memories like everything did not happen its a dream i dont know im talking i dont know if its left even if i run hard towards me you at the distance that will stop at the end even if you try to be more torn then we that story that cannot be returned sharply the wound is deep i cant get it so i leave the trembling tears are put in the chest now no longer a place to fill its overflowing a face that you may not know even if you laugh at me you at a distance that you cant push your hands i have no choice but to sit down again the collapsed love and all your traces only what you miss i have nothing to do i hate being helpless i dont want to send you even if you try to be more torn return us again then that story that cannot be released sharply the wound is deep i cant get it so i leave,overflow mc max left behind let us love memorize rising memories like everything happen dream talking left even run hard towards distance stop end even try torn story returned sharply wound deep get leave trembling tears put chest longer place fill overflowing face may even laugh distance push hands choice sit collapsed love traces miss nothing hate helpless want send even try torn return us story released sharply wound deep get leave,"{'neg': 0.203, 'neu': 0.567, 'pos': 0.231, 'compound': 0.8643}",0.8643,Positive
"Every day, every moment","Can you laugh without you
Just think about tears
A person who kept a hard time
Now I'll keep you
Your arms have always been warm
In my hard day that was hard
The only resting place
I am enough to be one
Even if you don't say it long, you don't know everything
One flower blooming
Every day all the moments together
It was shining like sunshine
Your eyes seeing me
It can be a dream
All that moment was dazzling
In my hard life that was anxious
Approach like a steam
You made me laugh
I am enough to be one
Even if you don't say it long, you don't know everything
One flower blooming
Every day all the moments together
Although it is an unknown future
The moment of the moment in your arms
I hope it is forever
On a good day with a good day
On a sunny day, to you
Like the day I first came to me
Every day all the moments together",en,every day every moment  pol kim can you laugh without you just think about tears a person who kept a hard time now ill keep you your arms have always been warm in my hard day that was hard the only resting place i am enough to be one even if you dont say it long you dont know everything one flower blooming every day all the moments together it was shining like sunshine your eyes seeing me it can be a dream all that moment was dazzling in my hard life that was anxious approach like a steam you made me laugh i am enough to be one even if you dont say it long you dont know everything one flower blooming every day all the moments together although it is an unknown future the moment of the moment in your arms i hope it is forever on a good day with a good day on a sunny day to you like the day i first came to me every day all the moments together,every day every moment pol kim laugh without think tears person kept hard time keep arms always warm hard day hard resting place enough one even say long everything one flower blooming every day moments together shining like sunshine eyes seeing dream moment dazzling hard life anxious approach like steam made laugh enough one even say long everything one flower blooming every day moments together although unknown future moment moment arms hope forever good day good day sunny day like day first came every day moments together,"{'neg': 0.068, 'neu': 0.618, 'pos': 0.313, 'compound': 0.9806}",0.9806,Positive
Meet you,"Since I met you
Happy to minor changes
Morning with snowy eyes
The day that reminds you of you
Sit on the table
Ask what your day was like
My day was also very good
I want to answer with a smile
When the heart works because it is not much
Each other was amazing
I love you
Just like a calm now
I want to be forever
I thought I looked at you
I was so happy to meet you
I was able to love so much
My heart is still young and lacking
Because I hug me with a warm understanding
 -At playing-
When you hurt each other in a casual tone
The cold between the cold
I'm sorry I can't stand it
Even now
I want to be forever
I thought I looked at you
I was so happy to meet you
I was able to love so much
My heart is still young and lacking
Because I hug me with a warm understanding
After the hot summer
In the sound of the rain to be missed
If you are shy one by one and blush
Thinking
I'll fit your eyes
Let's walk together
Meet me and you are happy too
I'm sorry that I couldn't do it more
I am selfish and anxious
I wanted to do well for you
I've been waiting for a long time
I think I found a perfect love
Because it was helping me to catch me
Because I hugged me with precious consideration
Meet you",en,meet you paul kim since i met you happy to minor changes morning with snowy eyes the day that reminds you of you sit on the table ask what your day was like my day was also very good i want to answer with a smile when the heart works because it is not much each other was amazing i love you just like a calm now i want to be forever i thought i looked at you i was so happy to meet you i was able to love so much my heart is still young and lacking because i hug me with a warm understanding  at playing when you hurt each other in a casual tone the cold between the cold im sorry i cant stand it even now i want to be forever i thought i looked at you i was so happy to meet you i was able to love so much my heart is still young and lacking because i hug me with a warm understanding after the hot summer in the sound of the rain to be missed if you are shy one by one and blush thinking ill fit your eyes lets walk together meet me and you are happy too im sorry that i couldnt do it more i am selfish and anxious i wanted to do well for you ive been waiting for a long time i think i found a perfect love because it was helping me to catch me because i hugged me with precious consideration meet you,since met happy minor changes morning snowy eyes day reminds sit table ask day like day also good want answer smile heart works much amazing love like calm want forever thought looked happy meet able love much heart still young lacking hug warm understanding playing hurt casual tone cold cold sorry stand even want forever thought looked happy meet able love much heart still young lacking hug warm understanding hot summer sound rain missed shy one one blush thinking fit eyes lets walk together meet happy sorry couldnt selfish anxious wanted well waiting long time think found perfect love helping catch hugged precious consideration meet,"{'neg': 0.06, 'neu': 0.426, 'pos': 0.514, 'compound': 0.9971}",0.9971,Positive
Four Seasons,"Four seasons and leave again
I gave my winter and gave me summer
I want to send you the whole world
Did you really love you
 -At playing-
When was spring
That's right, then each other
Shakespeare's play
As if I was in love with the last time
I must have seen only two
See something else
I gave you the world
Only you are all
I gave my winter and gave me summer
In the hot and cold season
Did you really love you
Would I love you
 -At playing-
I missed each other
I'm tired of each other
That long day and night
Before rusting
Let's shine again
The season changes again
I gave you the world
Only you are all
I gave my winter and gave me summer
In the hot and cold season
Did you really love you
Would I love you
 -At playing-
I can go back and look back
We were pretty good
That's when you leave
Four seasons and leave again
I gave my winter and gave me summer
I want to send you the whole world
Did you really love you
Would I love you
Would I love you",en,four seasons taeyeon  four seasons and leave again i gave my winter and gave me summer i want to send you the whole world did you really love you  at playing when was spring thats right then each other shakespeares play as if i was in love with the last time i must have seen only two see something else i gave you the world only you are all i gave my winter and gave me summer in the hot and cold season did you really love you would i love you  at playing i missed each other im tired of each other that long day and night before rusting lets shine again the season changes again i gave you the world only you are all i gave my winter and gave me summer in the hot and cold season did you really love you would i love you  at playing i can go back and look back we were pretty good thats when you leave four seasons and leave again i gave my winter and gave me summer i want to send you the whole world did you really love you would i love you would i love you, four seasons leave gave winter gave summer want send whole world really love playing spring thats right shakespeares play love last time must seen two see something else gave world gave winter gave summer hot cold season really love would love playing missed tired long day night rusting lets shine season changes gave world gave winter gave summer hot cold season really love would love playing go back look back pretty good thats leave four seasons leave gave winter gave summer want send whole world really love would love would love,"{'neg': 0.063, 'neu': 0.52, 'pos': 0.417, 'compound': 0.9946}",0.9946,Positive
For lovers who are hesitant,"I am easy to read
You also skim and go
I have a lonely heart that is not to soothe
Get staying um
Leave me a long afterglow
Love love
If you can, if you can
I'll shine you with white light
Then when the night comes
We engrave the secrets of our own
I plug in the night to remember the night and put it on the night
Squeeze out
 -At playing-
My growing heart
I can't break it down
I miss you because I miss you.
The arms I hugged in a hurry will be warm
Then when the night comes
We engrave the secrets of our own
I plug in the night to remember the night and put it on the night
Squeeze out
One day again that day
We don't hurried back
As I faced
See each other's goodbye
 -At playing-
I know the blooming heart
Even the season that came back
I have bloomed for a while
Once again forever
Nevertheless my love
I have the same dream again
Nevertheless
I won't put it off again",en,i am easy to read you also skim and go i have a lonely heart that is not to soothe get staying um leave me a long afterglow love love if you can if you can ill shine you with white light then when the night comes we engrave the secrets of our own i plug in the night to remember the night and put it on the night squeeze out  at playing my growing heart i cant break it down i miss you because i miss you the arms i hugged in a hurry will be warm then when the night comes we engrave the secrets of our own i plug in the night to remember the night and put it on the night squeeze out one day again that day we dont hurried back as i faced see each others goodbye  at playing i know the blooming heart even the season that came back i have bloomed for a while once again forever nevertheless my love i have the same dream again nevertheless i wont put it off again,easy read also skim go lonely heart soothe get staying um leave long afterglow love love shine white light night comes engrave secrets plug night remember night put night squeeze playing growing heart break miss miss arms hugged hurry warm night comes engrave secrets plug night remember night put night squeeze one day day hurried back faced see others goodbye playing blooming heart even season came back bloomed forever nevertheless love dream nevertheless wont put,"{'neg': 0.071, 'neu': 0.62, 'pos': 0.309, 'compound': 0.9719}",0.9719,Positive
Your news,"Our love at that time
It was hot and fierce
After the end, the only thing left is hate
Several seasons
Should I send it to be okay
I have a day with plenty of regrets
In a call with friends
Your news by chance
Starting different love
I'm doing well
At one time it was precious
I loved a lot
The two of us are now in others
I don't know
You must have forgotten it completely
You live well like this
Maybe I was worried
I guess it's hard
 -At playing-
You also have my news
I want you to hear it
It is still a bit difficult
I'm sorry
Sometimes think about me
So my heart
I think it will be comfortable
Another person next to you
It's unfamiliar to be there
The sadness that I don't know what it is
Is it selfish
At one time it was precious
I loved a lot
The two of us are now in others
I don't know
You must have forgotten it completely
You live well like this
I guess only I delayed the end
I guess I only did it
If you speak a honest heart
I hope you don't love good
I wanted to get sick
You will be happy
It must be a lot
I smile without me
Now I feel
You must have left perfectly
I must have left me definitely
I hate you so much
Don't be happy
Don't get well
I'm glad to meet a good person
Horse is a lie
Your news is that night
I was crying and staying up all night
I know it's too late
I can't help it",en,your news song ha ye our love at that time it was hot and fierce after the end the only thing left is hate several seasons should i send it to be okay i have a day with plenty of regrets in a call with friends your news by chance starting different love im doing well at one time it was precious i loved a lot the two of us are now in others i dont know you must have forgotten it completely you live well like this maybe i was worried i guess its hard  at playing you also have my news i want you to hear it it is still a bit difficult im sorry sometimes think about me so my heart i think it will be comfortable another person next to you its unfamiliar to be there the sadness that i dont know what it is is it selfish at one time it was precious i loved a lot the two of us are now in others i dont know you must have forgotten it completely you live well like this i guess only i delayed the end i guess i only did it if you speak a honest heart i hope you dont love good i wanted to get sick you will be happy it must be a lot i smile without me now i feel you must have left perfectly i must have left me definitely i hate you so much dont be happy dont get well im glad to meet a good person horse is a lie your news is that night i was crying and staying up all night i know its too late i cant help it, love time hot fierce end thing left hate several seasons send okay day plenty regrets call friends news chance starting different love well one time precious loved lot two us others must forgotten completely live well like maybe worried guess hard playing also news want hear still bit difficult sorry sometimes think heart think comfortable another person next unfamiliar sadness selfish one time precious loved lot two us others must forgotten completely live well like guess delayed end guess speak honest heart hope love good wanted get sick happy must lot smile without feel must left perfectly must left definitely hate much happy get well glad meet good person horse lie news night crying staying night late help,"{'neg': 0.173, 'neu': 0.377, 'pos': 0.45, 'compound': 0.9953}",0.9953,Positive
To you my light (Feat. Ir on),"Night of starlight
You and me in that landscape
New
Warm
Your eyes smile
I'll put it forever
A heart full of you
I resemble you
Gift for me
More beautiful than dreams
In each other's arms
Let's walk on an endless night
I want to give all my days
I want to convey all my hearts
Unpleasant
Blue winds
This brightly shines this night
Together with you
Do you know it's my greatest joy
In my world
You are light
Only by my side
 -At playing-
Day
Night without darkness
In the same heart
The same dream bloomed
Our determined
The fate is in touch
I want to give all my days
I want to convey all my hearts
Unpleasant
Blue winds
This brightly shines this night
Together with you
Do you know it's my greatest joy
In my world
You are light
Only by my side
Even if the light came to me
I don't close my eyes for a moment in front of you
The time to come
Seasonal wind
I can't take you
I want to be a better person
So that you can hold you more beautifully
Unpleasant
Indelible
The winds are singing you
I'll be with you forever
My last breath will be you
In my world
You are light
Only by my side
 -At playing-
This brightly shines this night",en,to you shining today  night of starlight you and me in that landscape new warm your eyes smile ill put it forever a heart full of you i resemble you gift for me more beautiful than dreams in each others arms lets walk on an endless night i want to give all my days i want to convey all my hearts unpleasant blue winds this brightly shines this night together with you do you know its my greatest joy in my world you are light only by my side  at playing day night without darkness in the same heart the same dream bloomed our determined the fate is in touch i want to give all my days i want to convey all my hearts unpleasant blue winds this brightly shines this night together with you do you know its my greatest joy in my world you are light only by my side even if the light came to me i dont close my eyes for a moment in front of you the time to come seasonal wind i cant take you i want to be a better person so that you can hold you more beautifully unpleasant indelible the winds are singing you ill be with you forever my last breath will be you in my world you are light only by my side  at playing this brightly shines this night,shining today night starlight landscape new warm eyes smile put forever heart full resemble gift beautiful dreams others arms lets walk endless night want give days want convey hearts unpleasant blue winds brightly shines night together greatest joy world light side playing day night without darkness heart dream bloomed determined fate touch want give days want convey hearts unpleasant blue winds brightly shines night together greatest joy world light side even light came close eyes moment front time come seasonal wind take want better person hold beautifully unpleasant indelible winds singing forever last breath world light side playing brightly shines night,"{'neg': 0.077, 'neu': 0.516, 'pos': 0.406, 'compound': 0.9907}",0.9907,Positive
