Title,lyrics
1+1,On weekends it’s iv For pizza it’s beer For you it’s me right right right Like a piece for a puzzle Our relationship fits perfectly together When we pick the same coffee We blend to similar taste When we walk together I want to walk in step Everyone looks for you from me Everyone in the world Everyone knows about us We belong together baby oh you and I 1+1 true oh anytime I’ll be with you Yesterday today tomorrow Us two like one oh yeah Oh you and I 1+1 true Oh anytime you’ll be with me Everyday we are always together Us two like one oh yeah You are me I am you You are me I am you you Other choice out of my mind Wanna be wanna be yours Gonna be gonna be mine Umm this heart is sold out woo woo After calling us next next Hold onto two seats Make this seat bright twice as bright kiddo In order left foot right foot babe I want to walk in step with you Everyone looks for you from me Everyone in the world Everyone knows about us We belong together baby oh you and I 1+1 true oh anytime I’ll be with you Yesterday today tomorrow Us two like one oh yeah Oh you and I 1+1 true Oh anytime you’ll be with me Everyday we are always together Us two like one oh yeah My world changed by one person I’m amazed whenever I open my eyes As time passes the deeper the love We belong together baby oh you and I 1+1 true oh the answer is probably infinite loop It lasts forever You and my dream oh yeah Na no no no no no no no no no Na no no no no no no no Na no no na no no no no no no Na na na na na na na na
A Supplementary Story,"Why does God keep bothering us? Oh no Even if we’re filled with scars We can smile, if we’re together At the end of this road that I walk on by myself Whatever is there, I’ll take a step Though I get tired and hurt sometimes It’s alright, because I’m next to you You and I, if we’re together We can smile I wanna fly But I have no wings But your hands Become my wings I wanna forget darkness and loneliness With you These wings came from pain But they are wings headed for the light Though it’s hard and it hurts If I can fly, I will fly So I won’t be scared anymore Will you hold my hand? You and I, if we’re together We can smile Even if this is the path I chose Even if everyone says I made my own destiny Even if this is a sin I committed Even if this whole life is just a price to pay for the sin Walk with me Fly with me To the end of the sky So our hands can touch Even if it hurts You and I, if we’re together We can smile Ayy I never walk alone From your hands, I feel your warmth Ayy you never walk alone Feel me, you’re not alone either Come on Crawl crawl crawl crawl it like it like that Baby Walk walk walk walk it like it like that Baby run run run run it like it like that Baby fly fly fly fly it like it like that Even if this road is far and dangerous Will you be with me? Even if I fall and get hurt sometimes Will you be with me? Ayy I never walk alone You and I, if we’re together We can smile Ayy You never walk alone You and I, if we’re together We can smile You and I, if we’re together We can smile"
A,"It’s not working So stop fronting I know you want me Let’s start talking Hey I already know everything so why are you hiding It’s written all over your face that you like me Hey why do you look away I know everything When I feel you looking at me You’re always there when I turn around (Hey Girl) Even though I look a couple of times Even though I pretend not to be surprised I know why you always are around me Hey I already know everything so why are you hiding It’s written all over your face that you like me Hey why do you look away I know everything You thought that I wouldn’t know that you liked me That was cute of you (So Cute) I want to pretend that I don’t know But I can’t stand it anymore I know everything come over here Don’t avoid me anymore Hey I already know everything so why are you hiding It’s written all over your face that you like me Hey why do you look away I know everything Now don’t avoid me anymore and come with me Look at me don’t be so shy Don’t be scared even though I’m not good at this either I think we’ll be a hot couple Let’s make our first day today I want to hold your hand and walk around We’re wasting time what do you want to do Until when are you going to run from me, huh? Hey I already know everything so why are you hiding It’s written all over your face that you like me Hey why do you look away I know everything It’s not working So stop fronting I know you want me (Let’s start talking) Romanized:"
ALL OR NOTHING,"Yeah Hey, listen Ooh It’s all or nothing Let me make a little confession I don’t understand why I keep falling behind, uh I saw another heart Say what? Say what? My cold appearance I have been regretting this all night long, yeah This thinking got my mind so exhausted Say what? Say what? I’m not trying to blame anybody It’s just a process Don’t worry about it, quit cryin’ You know, I was young too Tell me about it Baby, it’s the love It’s always protecting me It’s all or nothing, all or nothing Can’t live for no one else Can’t live like no one else If you have a more clear answer It’s all or nothing, all or nothing Life can be a mess I don’t know what’s next Hold me tight as if I’m still lost It’s all or nothing, all or nothing I just need a little conversation I’m curious about my other’s inner thoughts Even though I know myself best I still don’t know anything I’m tired of feeling dumb and stupid, yeah (uh) I want to do better (uh) I’m full of thoughts But I’m full of worries, no I’m not trying to blame anybody It’s just a process Don’t worry about it, quit cryin’ You know, I was young too Tell me about it Baby, it’s the love It’s always protecting me It’s all or nothing, all or nothing Can’t live for no one else Can’t live like no one else If you have a more clear answer It’s all or nothing, all or nothing Life can be a mess I don’t know what’s next Hold me tight as if I’m still lost It’s all or nothing, all or nothing Stop for a while I am making a fool of myself My thoughts are, oh Getting worse and worse I know I said a couple things, but Hey, I’m fine, so just Forget about this Forget about this, yeah, yeah Can’t live for no one else (no one else) Can’t live like no one else (oh) If you have a more clear answer (yeah) It’s all or nothing, all or nothing (all or nothing, all or nothing) Life can be a mess (be a mess) I don’t know what’s next Hold me tight as if I’m still lost (hold me tight, woah) It’s all or nothing, all or nothing (all or nothing, all or nothing)"
Ah puh (어푸),"I’m such a good surfer, I don’t sink Even if I stumble and then puff, uh Even if I fall, I’ve moved on from life jackets I’m such a good surfer, I don’t get swept away Even if I feel bad and like throwing up I can’t stand losing even if I throw up I get on the highest wave, ra-cha-cha-ua I’ll pick the perfect timing to disappear with the tsunami What fears are you talking about? It’s fun Ah-ah-ah puh-puh-puh, again I’d fall if I were in my wandering days Hey, come on, when are you going to bring this up? Swimming like a fish I get so wet again I we-e-et myself Without hesitation I keep throwing myself Hey, come on man, why are you so surprised? I’ll show you something more interesting When the wave comes I’m a bubble maker The damn villain tormenting this calm sea I can’t change this habit even if I get older I’m a bubble maker, that’s about it This fluttering motion sickness, I suck it up I can’t leave this place even if I water it I get on the highest wave, ra-cha-cha-ua I’ll pick the perfect timing to be crashed against the biggest wave What fears are you talking about? It’s fun Ah-ah-ah puh-puh-puh, again I’d fall if I were in my wandering days Hey, come on man, when are you going to bring this up? Swimming with my bare body Uh, I’ll see you again next time Wish me luck until we meet again Let’s see each other until we get tired I’ll get going first, to the water Hey, come on man, why are you so surprised? I’ll show you something more interesting When the wave comes I get so wet again I we-e-et myself Without hesitation I keep throwing myself Hey, come on man, what are you looking at? I’ll disappear like a bubble When the time has come"
Alcohol-Free,"When I am with you Something magical happens I keep smiling for no reason Though there is nothing going on A spell is cast upon me I could stay up all night without feeling sleepy All other thoughts go away And my heart beats louder Suddenly love feels so easy So I fall deeper and deeper for you That’s what you do to me I am alcohol free but I get drunk Though I did not drink at all It happens whenever I’m with you Because of the way you look at me You are my champagne, my wine I drink with my eyes My tequila, margarita Mojito with lime Sweet mimosa, pina colada I’m drunk in you I’m drunk in you You are so special Although not hard at all You make the stars come out in broad daylight With just one sip A spell is cast upon me I could stay up all night without feeling sleepy All other thoughts go away And my heart beats louder Suddenly love feels so easy So I fall deeper and deeper for you That’s what you do to me I am alcohol free but I get drunk Though I did not drink at all It happens whenever I’m with you Because of the way you look at me Alcohol percentage is completely 0.0% But I get lost whenever I drink It doesn’t wear off even after sleep But I actually quite like this feeling Easy to the mouth and tummy Like a drink made of honey What’s the name of this drink, anyway? Makes the whole world bright and sunny I am alcohol free but I get drunk Though I did not drink at all It happens whenever I’m with you Because of the way you look at me You are my champagne, my wine I drink with my eyes My tequila, margarita Mojito with lime Sweet mimosa, pina colada I’m drunk in you I’m drunk in you"
BEHIND THE MASK,"After exhaling deeply A sigh is all that’s left After you left me I’ve come to only live for today Round and round and round I beg that you turn and look behind you Sound that makes me high and low Come see me It’ll probably be a problem, even if we meet Since we won’t have anything to say Just standing face to face Behind the mask Yeah who yeah I wonder if you’re smiling Who yeah woo yeah I wonder if you’re crying Let me ask in the mask I’m lonely but if you’re trying Say yes woo yeah In order to give out light I’ve completely burnt up I’ll still endure it for you… …tomorrow as well Round and round and round I believe that you’ll recognize me Sound that makes me high and low So that you remember You’re probably wet with tears Holding your breath in your mouth While just looking at me Behind the mask Yeah who yeah I wonder if you’re smiling Who yeah woo yeah I wonder if you’re crying Let me ask in the mask I’m lonely but if you’re trying Say yes woo yeah Call my name Like before, once again The distance decreases As if by fate, twice again Rain and pain are falling down But don’t cry, it will dry I want to see you, a little closer, yeah No matter what they say Behind the text yeah who yeah Behind the mask Yeah who yeah I wonder if you’re smiling Who yeah woo yeah I wonder if you’re crying Let me ask in the mask I’m lonely but if you’re trying Say yes woo yeah Call my name Like before, once again The distance decreases As if by fate, twice again Behind the mask Yeah who yeah"
BELIEVER,"I believe yeah I’m a believer, oh yeah Believer You’re on my mind Woke up in the morning thinking about you, you’re on my Wavered in To many words and gazes Come on and get it, hope your steps don’t falter Wait right here for you Believer I trust you because you’re tough Believer In this joy, in this rainstorm Show me the reckless dream And the bright smile I loved Cause I see the light You can do it, because I believe in you Let’s go, wander around Get lost you and me, uh Alright, it’s fine We laugh, run and fall down multiple times We’ll get stronger after each fall Come on and get it, hope your gaze doesn’t weaken Wait right here for you Believer I trust you because you’re tough Believer In this joy, in this rainstorm Show me the reckless dream And the bright smile I loved Cause I see the light You can do it, because I believe in you Baby, that night where you’re alone What are you thinking? You’ll see, I believe in you Wanna be your only one Believer I trust you because you’re tough Believer In this joy, in this rainstorm Show me the reckless dream And the bright smile I loved Cause I see the light You can do it, because I believe in you"
BLAME IT ON ME,"Oh, intensely Being led, it goes deeper As if irresistibly bewitched We’d be wonderful together, I know Hey, you, sweetly It melts and getting thicker The heat that covers the body We’d be wonderful together, you know, you know You’re so into me You’re, you’re so into me You’ve fallen for me You’ve, you’ve fallen for me Oh, you can’t escape Stimulate all your sеnses, do it In my fatal charm Out of control, no Don’t hold me accountable It’s not my fault Gеstures, aura, and my charms All day, I’m out of my mind Don’t you cry about me, baby Don’t blame it on me, yeah Oh, woah-oh-oh, oh, woah-oh-oh, oh Oh-oh-oh, oh, woah-oh-oh Oh, woah-oh-oh, oh, woah-oh-oh, oh Don’t blame it on me, yeah It won’t stop You keep getting attracted to me Attractive Don’t resent me, yeah It’s not my fault that you fell for me Totally obsessed mind I’m getting more into it Yeah, you know You can’t escape Stimulate all your senses, do it In my fatal charm Out of control, no Don’t hold me accountable It’s not my fault Gestures, aura, and my charms All day, I’m out of my mind Don’t you cry about me, baby Don’t blame it on me, yeah Oh, woah-oh-oh, oh, woah-oh-oh, oh Oh-oh-oh, oh, woah-oh-oh Oh, woah-oh-oh, oh, woah-oh-oh, oh Don’t blame it on me, yeah Don’t blame it on, don’t blame it on me Don’t blame it on me, me Don’t blame it on, don’t blame it on me Don’t blame it on me, yeah Oh, woah-oh-oh, oh, woah-oh-oh, oh Oh-oh-oh, oh, woah-oh-oh (yeah, yeah) Oh, woah-oh-oh, oh, woah-oh-oh, oh Don’t blame it on me, yeah Oh, woah-oh-oh, oh, woah-oh-oh, oh (oh, woah) Oh-oh-oh, oh, woah-oh-oh (yeah, yeah) Oh, woah-oh-oh, oh, woah-oh-oh, oh (oh, woah) Don’t blame it on me, yeah"
BRING IT BACK,"Ooh no, I’m gonna bring it back, hmm Bring it back to me From one point Something started to change I realized then I want to put back everything to where they used to be I want to go back I want it desperately Down till my heart that I gave to you Without leaving anything behind I will bring it back I won’t hesitate anymore, right now I’m gonna bring it back Don’t wanna hear Don’t wanna ask for your opinion Gonna bring it back Whether you call me selfish or not I don’t care Because I’ve already made up my mind I’ll bring it back Bring it back to me Oh Bring it back Bring it back to me Even if you pathetically make one excuse after another I don’t care Don’t care No matter how much you try to reason with me It’s no use, there’s no meaning to it Down till my heart that I gave to you Without leaving anything behind I will bring it back I won’t hesitate anymore, right now I’m gonna bring it back Don’t wanna hear Don’t wanna ask for your opinion Gonna bring it back Whether you call me selfish or not I don’t care Because I’ve already made up my mind I’ll bring it back Bring it back to me Oh Bring it back Bring it back to me I decided, I’ll get it I’ll bring it, I’ll take it I’ll chase till the end Like this, like this, keep going Just like this, like this, don’t stop it Nobody will be able to stop me I like it, I like it I’ll bring it back Make a point you can’t stop it Yeah, you know I’m gonna do it Yes, you can hate me Honestly, hey What do you want? Hey I’m not listening anyway Why bother? Uh anyway, I’ll do that And I’ll bring it back Bring it back to me, I’ll do I’ll bring it back to me, to me Bring it back to me"
